2.1,3.55,3.6,2.16,1.71,Atletico Bucaramanga,Alianza Petrolera,2023-04-25,1.0,1.0
2.15,3.25,3.8,2.48,1.55,Deportivo Pasto,La Equidad Seguros,2023-04-25,1.0,1.0
3.25,3.0,2.55,1.52,2.55,Atletico Huila,Independiente Medellin,2023-04-25,2.0,3.0
2.1,3.2,4.05,2.6,1.5,Once Caldas Manizales,Boyaca Chico,2023-04-26,1.0,1.0
1.7,3.7,5.65,2.07,1.77,Deportes Tolima,Jaguares de Cordoba,2023-04-26,1.0,1.0
2.05,3.15,4.35,2.38,1.58,Rionegro Aguilas Doradas,Independiente Santa Fe,2023-04-26,3.0,1.0
1.58,4.1,6.35,2.05,1.78,Atletico Nacional S.A,Union Magdalena,2023-04-26,2.0,0.0
1.9,3.45,4.55,2.07,1.77,Deportivo Pereira,Envigado FC,2023-04-27,0.0,0.0
2.35,3.3,3.25,1.52,2.55,Deportivo Cali,Junior Barranquilla,2023-04-27,3.0,2.0
1.95,3.45,4.3,1.5,2.63,Millonarios FC,America de Cali,2023-04-27,4.0,3.0
2.1,3.5,3.65,2.14,1.72,Independiente Santa Fe,Deportes Tolima,2023-04-28,2.0,0.0
2.05,3.25,4.15,2.43,1.57,Union Magdalena,Deportivo Pasto,2023-04-28,2.0,1.0
2.9,3.1,2.7,2.5,1.53,Alianza Petrolera,Rionegro Aguilas Doradas,2023-04-28,2.0,1.0
2.7,3.15,2.9,2.35,1.6,Independiente Medellin,Atletico Nacional S.A,2023-04-28,1.0,3.0
2.05,3.3,4.1,2.48,1.55,Envigado FC,Atletico Huila,2023-03-01,0.0,1.0
2.3,3.25,3.45,2.45,1.56,Jaguares de Cordoba,Once Caldas Manizales,2023-03-01,1.0,0.0
1.37,4.8,10.0,2.12,1.72,Millonarios FC,Envigado FC,2023-05-04,1.0,1.0
1.7,3.9,5.2,2.08,1.75,Millonarios FC,Envigado FC,2023-05-03,1.0,1.0
2.0,3.6,3.9,2.28,1.63,Rionegro Aguilas Doradas,La Equidad Seguros,2023-05-03,1.0,1.0
2.0,3.35,4.25,2.43,1.57,Atletico Bucaramanga,Union Magdalena,2023-05-03,3.0,0.0
3.0,3.4,2.45,2.38,1.58,Once Caldas Manizales,Junior Barranquilla,2023-05-03,2.0,0.0
1.68,3.85,5.6,2.23,1.67,Deportivo Cali,Envigado FC,2023-05-08,2.0,0.0
3.6,3.45,2.15,2.23,1.67,Atletico Huila,America de Cali,2023-05-08,0.0,2.0
1.6,4.3,5.5,1.9,1.91,Millonarios FC,Alianza Petrolera,2023-05-08,3.0,1.0
1.9,3.55,4.4,2.2,1.68,Independiente Medellin,Once Caldas Manizales,2023-05-08,2.0,2.0
2.5,3.1,3.2,2.35,1.6,Union Magdalena,Boyaca Chico,2023-05-10,0.0,0.0
1.5,4.35,7.0,1.88,1.94,Millonarios FC,Alianza Petrolera,2023-05-10,3.0,1.0
2.18,3.4,3.55,2.07,1.77,Atletico Bucaramanga,America de Cali,2023-05-17,2.0,1.0
4.7,4.1,1.72,1.98,1.83,Atletico Huila,Junior Barranquilla,2023-05-17,2.0,1.0
2.25,3.3,3.5,2.05,1.78,Deportes Tolima,Atletico Nacional S.A,2023-05-17,2.0,2.0
2.5,3.2,3.1,2.35,1.6,Deportivo Cali,Boyaca Chico,2023-05-17,0.0,0.0
1.32,5.0,13.0,2.12,1.72,Deportivo Pasto,Envigado FC,2023-05-17,2.0,1.0
1.52,4.3,6.65,1.93,1.88,Deportivo Pereira,Alianza Petrolera,2023-05-17,2.0,1.0
1.32,5.5,10.0,1.8,1.95,Independiente Medellin,Union Magdalena,2023-05-17,4.0,0.0
1.75,3.55,5.5,2.04,1.79,Millonarios FC,La Equidad Seguros,2023-05-17,0.0,0.0
3.05,3.25,2.5,2.2,1.68,Once Caldas Manizales,Independiente Santa Fe,2023-05-17,3.0,1.0
1.65,3.95,5.7,2.1,1.74,Rionegro Aguilas Doradas,Jaguares de Cordoba,2023-05-17,3.0,0.0
1.83,3.4,4.85,2.35,1.6,Rionegro Aguilas Doradas,Deportivo Pasto,2023-05-23,0.0,0.0
1.6,3.7,6.4,2.4,1.58,Millonarios FC,Boyaca Chico,2023-05-23,1.0,0.0
1.43,4.35,8.25,1.98,1.83,Atletico Nacional S.A,Alianza Petrolera,2023-05-23,1.0,1.0
2.0,3.35,4.0,2.2,1.68,America de Cali,Independiente Medellin,2023-05-23,2.0,0.0
1.82,3.55,4.9,2.45,1.56,Independiente Medellin,Boyaca Chico,2023-06-02,0.0,0.0
2.0,3.4,4.15,2.04,1.79,Millonarios FC,America de Cali,2023-06-02,2.0,1.0
2.55,3.25,2.95,2.1,1.74,Rionegro Aguilas Doradas,Atletico Nacional S.A,2023-06-02,0.0,1.0
2.15,3.25,3.75,2.06,1.77,Alianza Petrolera,Deportivo Pasto,2023-06-02,1.0,0.0
2.35,3.15,3.3,2.35,1.6,Deportivo Pasto,Rionegro Aguilas Doradas,2023-06-05,3.0,0.0
2.55,2.95,3.2,1.5,2.63,Boyaca Chico,Millonarios FC,2023-06-05,3.0,0.0
2.35,3.15,3.3,2.35,1.6,Deportivo Pasto,Rionegro Aguilas Doradas,2023-06-06,3.0,0.0
2.55,2.95,3.15,1.5,2.63,Boyaca Chico,Millonarios FC,2023-06-06,3.0,0.0
2.1,3.5,3.45,1.91,1.9,Independiente Medellin,America de Cali,2023-06-06,0.0,1.0
